subject_number,N,K,clustering_score,correct
1,300,90.0,0.010032741055078622,True
1,300,90.0,0.009672814921977456,True
1,300,90.0,0.00972646886679959,True
1,300,90.0,0.010668080198391662,True
1,300,90.0,0.009662313599374663,True
1,300,90.0,0.010229519250908013,True
1,300,90.0,0.010534123458348785,True
1,300,90.0,0.009816080234507505,True
1,300,90.0,0.010632988015653457,True
1,300,90.0,0.010521255300033101,True
1,300,90.0,0.009375724248361882,True
1,300,90.0,0.009399180006618149,True
2,300,90.0,0.010087551382284194,True
2,300,90.0,0.010279774127310062,True
2,300,90.0,0.010376104647095857,True
2,300,90.0,0.009804785616709999,True
2,300,90.0,0.009471219789055478,True
2,300,90.0,0.009995657317420147,True
2,300,90.0,0.009800370970346844,True
2,300,90.0,0.009978249658048747,True
2,300,90.0,0.009644049103982354,True
2,300,90.0,0.009499052466551715,True
2,300,90.0,0.009614576706557357,True
2,300,90.0,0.010552886958950455,True
3,300,90.0,0.009427300331897466,True
3,300,90.0,0.010112512751108462,True
3,300,90.0,0.010103099545171324,True
3,300,90.0,0.010134596551959734,True
3,300,90.0,0.010237834742686532,True
3,300,90.0,0.00943289572234077,True
3,300,90.0,0.009919578349808172,True
3,300,90.0,0.010449825183948235,True
3,300,90.0,0.010098335854765507,True
3,300,90.0,0.009938285850412048,True
3,300,90.0,0.009806778308043027,True
3,300,90.0,0.009814420459084526,True
4,300,90.0,0.010336204070993333,True
4,300,90.0,0.009923732215333839,True
4,300,90.0,0.009946751969481726,True
4,300,90.0,0.010095128627818696,True
4,300,90.0,0.009997054550719139,True
4,300,90.0,0.009928726371242641,True
4,300,90.0,0.00992476507672178,True
4,300,90.0,0.009925724354827917,True
4,300,90.0,0.00939417537670526,True
4,300,90.0,0.010081507921724202,True
5,300,90.0,0.01011887466996804,True
5,300,90.0,0.009597802929906083,True
5,300,90.0,0.010533846392585014,True
5,300,90.0,0.00968153666897122,True
5,300,90.0,0.010269204437937338,True
5,300,90.0,0.009799196001047205,True
5,300,90.0,0.009917465883174482,True
5,300,90.0,0.010380084751253774,True
5,300,90.0,0.009532899810532128,True
5,300,90.0,0.010813510813510813,True
5,300,90.0,0.01018332528159882,True
5,300,90.0,0.009763958437961686,True
6,300,90.0,0.010560399950428085,True
6,300,90.0,0.00972462673701744,True
6,300,90.0,0.009504124386562758,True
6,300,90.0,0.009473236038507936,True
6,300,90.0,0.00946846563573477,True
6,300,90.0,0.00925583545181419,True
6,300,90.0,0.00974201300881038,True
6,300,90.0,0.01035933038116128,True
6,300,90.0,0.009632497955649622,True
6,300,90.0,0.010319585052190562,True
6,300,90.0,0.010095001398932778,True
6,300,90.0,0.009760698383452874,True
7,300,90.0,0.00974234477927082,True
7,300,90.0,0.010422196546232396,True
7,300,90.0,0.009737844106963106,True
7,300,90.0,0.01068581308231678,True
7,300,90.0,0.010506764467460511,False
7,300,90.0,0.009833215891262556,True
7,300,90.0,0.010167219665256034,True
7,300,90.0,0.010269494089592041,True
7,300,90.0,0.010161596017567762,True
7,300,90.0,0.01001535437599716,False
7,300,90.0,0.009536281921542948,True
7,300,90.0,0.009822411776102968,True
8,300,90.0,0.009824556239145153,True
8,300,90.0,0.009676951699809118,True
8,300,90.0,0.009649137600797952,True
8,300,90.0,0.009713400126601619,True
8,300,90.0,0.010087627606600154,True
8,300,90.0,0.010287246639627861,True
8,300,90.0,0.010261810690731317,True
8,300,90.0,0.009421334794953646,True
8,300,90.0,0.009500246698041597,True
8,300,90.0,0.010549078898154634,True
8,300,90.0,0.010432974973885,True
8,300,90.0,0.01008973693624697,True
9,300,90.0,0.009689500500805644,True
9,300,90.0,0.00949166842438304,True
9,300,90.0,0.010095103181784955,True
9,300,90.0,0.009854434864769104,True
9,300,90.0,0.009915722547932182,True
9,300,90.0,0.010091058893485787,True
