subject_number,N,K,clustering_score,correct
1,200,60.0,0.015255990346491983,True
1,200,60.0,0.015088742263822822,True
2,200,60.0,0.015255990346491983,True
2,200,60.0,0.015088742263822822,True
3,200,60.0,0.015255990346491983,True
3,200,60.0,0.015088742263822822,True
4,200,60.0,0.015255990346491983,True
4,200,60.0,0.015088742263822822,True
1,200,53.0,0.014098917514170537,True
1,200,53.0,0.015219792356969294,True
2,200,53.0,0.014098917514170537,True
2,200,53.0,0.015219792356969294,True
3,200,53.0,0.014098917514170537,True
3,200,53.0,0.015219792356969294,True
4,200,53.0,0.014098917514170537,True
4,200,53.0,0.015219792356969294,True
1,200,47.0,0.015340078616129077,False
1,200,47.0,0.01887121833702844,True
2,200,47.0,0.015340078616129077,False
2,200,47.0,0.01887121833702844,True
3,200,47.0,0.015340078616129077,False
3,200,47.0,0.01887121833702844,True
4,200,47.0,0.015340078616129077,False
4,200,47.0,0.01887121833702844,True
1,200,43.0,0.016028542520901006,True
1,200,43.0,0.01459441113248105,True
2,200,43.0,0.016028542520901006,True
2,200,43.0,0.01459441113248105,True
3,200,43.0,0.016028542520901006,True
3,200,43.0,0.01459441113248105,True
4,200,43.0,0.016028542520901006,True
4,200,43.0,0.01459441113248105,True
1,200,40.0,0.015391597766245041,False
1,200,40.0,0.013737715312268837,False
2,200,40.0,0.015391597766245041,False
2,200,40.0,0.013737715312268837,False
3,200,40.0,0.015391597766245041,False
3,200,40.0,0.013737715312268837,False
4,200,40.0,0.015391597766245041,False
4,200,40.0,0.013737715312268837,False
1,200,37.0,0.014102998475351515,True
1,200,37.0,0.013623532299635888,False
2,200,37.0,0.014102998475351515,True
2,200,37.0,0.013623532299635888,False
3,200,37.0,0.014102998475351515,True
3,200,37.0,0.013623532299635888,False
4,200,37.0,0.014102998475351515,True
4,200,37.0,0.013623532299635888,False
1,200,33.0,0.015169798310636097,False
1,200,33.0,0.016433239962651728,True
2,200,33.0,0.015169798310636097,False
2,200,33.0,0.016433239962651728,True
3,200,33.0,0.015169798310636097,False
3,200,33.0,0.016433239962651728,True
4,200,33.0,0.015169798310636097,False
4,200,33.0,0.016433239962651728,True
1,200,30.0,0.01434223541048467,False
1,200,30.0,0.01559922541777236,False
2,200,30.0,0.01434223541048467,False
2,200,30.0,0.01559922541777236,False
3,200,30.0,0.01434223541048467,False
3,200,30.0,0.01559922541777236,False
4,200,30.0,0.01434223541048467,False
4,200,30.0,0.01559922541777236,False
1,200,27.0,0.016721452050878948,True
1,200,27.0,0.014867211656571648,False
2,200,27.0,0.016721452050878948,True
2,200,27.0,0.014867211656571648,False
3,200,27.0,0.016721452050878948,True
3,200,27.0,0.014867211656571648,False
4,200,27.0,0.016721452050878948,True
4,200,27.0,0.014867211656571648,False
1,200,23.0,0.014228671053371578,False
1,200,23.0,0.01373134328358209,True
2,200,23.0,0.014228671053371578,False
2,200,23.0,0.01373134328358209,True
3,200,23.0,0.014228671053371578,False
3,200,23.0,0.01373134328358209,True
4,200,23.0,0.014228671053371578,False
4,200,23.0,0.01373134328358209,True
1,200,20.0,0.015295443567863469,False
1,200,20.0,0.013652367607961487,False
2,200,20.0,0.015295443567863469,False
2,200,20.0,0.013652367607961487,False
3,200,20.0,0.015295443567863469,False
3,200,20.0,0.013652367607961487,False
4,200,20.0,0.015295443567863469,False
4,200,20.0,0.013652367607961487,False
1,200,17.0,0.01574074074074074,False
1,200,17.0,0.01369035635192269,False
2,200,17.0,0.01574074074074074,False
2,200,17.0,0.01369035635192269,False
3,200,17.0,0.01574074074074074,False
3,200,17.0,0.01369035635192269,False
4,200,17.0,0.01574074074074074,False
4,200,17.0,0.01369035635192269,False
1,200,13.0,0.012961116650049849,False
1,200,13.0,0.012540192926045017,True
2,200,13.0,0.012961116650049849,False
2,200,13.0,0.012540192926045017,True
3,200,13.0,0.012961116650049849,False
3,200,13.0,0.012540192926045017,True
4,200,13.0,0.012961116650049849,False
4,200,13.0,0.012540192926045017,True
1,200,10.0,0.014720314033366044,False
1,200,10.0,0.017928286852589643,False
2,200,10.0,0.014720314033366044,False
2,200,10.0,0.017928286852589643,False
3,200,10.0,0.014720314033366044,False
3,200,10.0,0.017928286852589643,False
4,200,10.0,0.014720314033366044,False
4,200,10.0,0.017928286852589643,False
1,200,7.0,0.0181190681622088,False
1,200,7.0,0.0130030959752322,False
2,200,7.0,0.0181190681622088,False
2,200,7.0,0.0130030959752322,False
3,200,7.0,0.0181190681622088,False
3,200,7.0,0.0130030959752322,False
4,200,7.0,0.0181190681622088,False
4,200,7.0,0.0130030959752322,False
1,300,90.0,0.009747869707125803,True
1,300,90.0,0.009867035233076372,True
2,300,90.0,0.009747869707125803,True
2,300,90.0,0.009867035233076372,True
3,300,90.0,0.009747869707125803,True
3,300,90.0,0.009867035233076372,True
4,300,90.0,0.009508569583498537,True
4,300,90.0,0.009666511391036333,True
1,300,80.0,0.010093621533911055,True
1,300,80.0,0.010126582278481013,True
2,300,80.0,0.010093621533911055,True
2,300,80.0,0.010126582278481013,True
3,300,80.0,0.010093621533911055,True
3,300,80.0,0.010126582278481013,True
4,300,80.0,0.01003021761763287,True
4,300,80.0,0.0099770149781516,False
1,300,70.0,0.00983887066875802,True
1,300,70.0,0.010710246801339337,True
2,300,70.0,0.00983887066875802,True
2,300,70.0,0.010710246801339337,True
3,300,70.0,0.00983887066875802,True
3,300,70.0,0.010710246801339337,True
4,300,70.0,0.0107216110385978,True
4,300,70.0,0.009905294718406621,True
1,300,65.0,0.009572284554566624,True
1,300,65.0,0.009861839422703092,True
2,300,65.0,0.009572284554566624,True
2,300,65.0,0.009861839422703092,True
3,300,65.0,0.009572284554566624,True
3,300,65.0,0.009861839422703092,True
4,300,65.0,0.00948264857669092,True
4,300,65.0,0.011248228944721442,True
1,300,60.0,0.00959927110619397,True
1,300,60.0,0.009337757777508138,True
2,300,60.0,0.00959927110619397,True
2,300,60.0,0.009337757777508138,True
3,300,60.0,0.00959927110619397,True
3,300,60.0,0.009337757777508138,True
4,300,60.0,0.009994748521963037,False
4,300,60.0,0.011104767521378246,True
1,300,55.0,0.01037279185264349,True
1,300,55.0,0.00973342859202842,True
2,300,55.0,0.01037279185264349,True
2,300,55.0,0.00973342859202842,True
3,300,55.0,0.01037279185264349,True
3,300,55.0,0.00973342859202842,True
4,300,55.0,0.010357165275249514,False
4,300,55.0,0.010272480129495507,False
1,300,50.0,0.009980527786604096,True
1,300,50.0,0.00887507516645294,False
2,300,50.0,0.009980527786604096,True
2,300,50.0,0.00887507516645294,False
3,300,50.0,0.009980527786604096,True
3,300,50.0,0.00887507516645294,False
4,300,50.0,0.009615384615384616,True
4,300,50.0,0.00943963258638227,False
1,300,45.0,0.010445902884757424,False
1,300,45.0,0.009402066555234767,True
2,300,45.0,0.010445902884757424,False
2,300,45.0,0.009402066555234767,True
3,300,45.0,0.010445902884757424,False
3,300,45.0,0.009402066555234767,True
4,300,45.0,0.009886356827577943,True
4,300,45.0,0.010460030006550726,True
1,300,40.0,0.010787635709840262,True
1,300,40.0,0.00985557787801827,True
2,300,40.0,0.010787635709840262,True
2,300,40.0,0.00985557787801827,True
3,300,40.0,0.010787635709840262,True
3,300,40.0,0.00985557787801827,True
4,300,40.0,0.009744518708226622,True
4,300,40.0,0.010793905594841067,True
1,300,35.0,0.011572498298162016,True
1,300,35.0,0.009672123152949592,False
2,300,35.0,0.011572498298162016,True
2,300,35.0,0.009672123152949592,False
3,300,35.0,0.011572498298162016,True
3,300,35.0,0.009672123152949592,False
4,300,35.0,0.010084574837714615,False
4,300,35.0,0.011506255922337607,True
1,300,30.0,0.009170250442701746,True
1,300,30.0,0.00883697308278314,False
2,300,30.0,0.009170250442701746,True
2,300,30.0,0.00883697308278314,False
3,300,30.0,0.009170250442701746,True
3,300,30.0,0.00883697308278314,False
4,300,30.0,0.010420659256420084,False
1,300,25.0,0.009970752459452272,True
1,300,25.0,0.009048681908668636,False
2,300,25.0,0.009970752459452272,True
2,300,25.0,0.009048681908668636,False
3,300,25.0,0.009970752459452272,True
3,300,25.0,0.009048681908668636,False
4,300,25.0,0.010723477266228196,True
4,300,25.0,0.009847042604871004,True
1,300,20.0,0.011481750060430264,False
1,300,20.0,0.009688934217236104,False
2,300,20.0,0.011481750060430264,False
2,300,20.0,0.009688934217236104,False
3,300,20.0,0.011481750060430264,False
3,300,20.0,0.009688934217236104,False
4,300,20.0,0.008529358951337763,False
4,300,20.0,0.011689430294081456,False
1,300,15.0,0.010268948655256724,True
1,300,15.0,0.011135857461024499,True
2,300,15.0,0.010268948655256724,True
2,300,15.0,0.011135857461024499,True
3,300,15.0,0.010268948655256724,True
3,300,15.0,0.011135857461024499,True
4,300,15.0,0.009991435912075363,True
4,300,15.0,0.008391273076000958,True
1,300,10.0,0.009907529722589167,False
1,300,10.0,0.012824166429182104,False
2,300,10.0,0.009907529722589167,False
2,300,10.0,0.012824166429182104,False
3,300,10.0,0.009907529722589167,False
3,300,10.0,0.012824166429182104,False
4,300,10.0,0.008068854222700376,True
4,300,10.0,0.009274525968672712,True
1,400,120.0,0.007658019039937535,True
1,400,120.0,0.007781303946014751,True
2,400,120.0,0.007658019039937535,True
2,400,120.0,0.007781303946014751,True
3,400,120.0,0.007658019039937535,True
3,400,120.0,0.007781303946014751,True
4,400,120.0,0.007658019039937535,True
4,400,120.0,0.007781303946014751,True
1,400,107.0,0.007182399511632296,True
1,400,107.0,0.007874409349871768,True
2,400,107.0,0.007182399511632296,True
2,400,107.0,0.007874409349871768,True
3,400,107.0,0.007182399511632296,True
3,400,107.0,0.007874409349871768,True
4,400,107.0,0.007182399511632296,True
4,400,107.0,0.007874409349871768,True
1,400,93.0,0.0079779794340446,True
1,400,93.0,0.0076492570672483775,True
2,400,93.0,0.0079779794340446,True
2,400,93.0,0.0076492570672483775,True
3,400,93.0,0.0079779794340446,True
3,400,93.0,0.0076492570672483775,True
4,400,93.0,0.0079779794340446,True
4,400,93.0,0.0076492570672483775,True
1,400,87.0,0.007262709742048586,True
1,400,87.0,0.0072706706858452225,True
2,400,87.0,0.007262709742048586,True
2,400,87.0,0.0072706706858452225,True
3,400,87.0,0.007262709742048586,True
3,400,87.0,0.0072706706858452225,True
4,400,87.0,0.007262709742048586,True
4,400,87.0,0.0072706706858452225,True
1,400,80.0,0.006604702297224143,True
1,400,80.0,0.0070284853836418675,True
2,400,80.0,0.006604702297224143,True
2,400,80.0,0.0070284853836418675,True
3,400,80.0,0.006604702297224143,True
3,400,80.0,0.0070284853836418675,True
4,400,80.0,0.006604702297224143,True
4,400,80.0,0.0070284853836418675,True
1,400,73.0,0.00735002097608726,True
1,400,73.0,0.0073151179103480525,True
2,400,73.0,0.00735002097608726,True
2,400,73.0,0.0073151179103480525,True
3,400,73.0,0.00735002097608726,True
3,400,73.0,0.0073151179103480525,True
4,400,73.0,0.00735002097608726,True
4,400,73.0,0.0073151179103480525,True
1,400,67.0,0.007211514940001891,True
1,400,67.0,0.007611198892916525,True
2,400,67.0,0.007211514940001891,True
2,400,67.0,0.007611198892916525,True
3,400,67.0,0.007211514940001891,True
3,400,67.0,0.007611198892916525,True
4,400,67.0,0.007211514940001891,True
4,400,67.0,0.007611198892916525,True
1,400,60.0,0.006932151081728887,True
1,400,60.0,0.007052551469680005,True
2,400,60.0,0.006932151081728887,True
2,400,60.0,0.007052551469680005,True
3,400,60.0,0.006932151081728887,True
3,400,60.0,0.007052551469680005,True
4,400,60.0,0.006932151081728887,True
4,400,60.0,0.007052551469680005,True
1,400,53.0,0.008052922544676773,True
1,400,53.0,0.007669958032305106,False
2,400,53.0,0.008052922544676773,True
2,400,53.0,0.007669958032305106,False
3,400,53.0,0.008052922544676773,True
3,400,53.0,0.007669958032305106,False
4,400,53.0,0.008052922544676773,True
4,400,53.0,0.007669958032305106,False
1,400,47.0,0.007169243217073544,True
1,400,47.0,0.007146682180895021,False
2,400,47.0,0.007169243217073544,True
2,400,47.0,0.007146682180895021,False
3,400,47.0,0.007169243217073544,True
3,400,47.0,0.007146682180895021,False
4,400,47.0,0.007169243217073544,True
4,400,47.0,0.007146682180895021,False
1,400,40.0,0.007057163020465773,False
1,400,40.0,0.007397010848949245,False
2,400,40.0,0.007057163020465773,False
2,400,40.0,0.007397010848949245,False
3,400,40.0,0.007057163020465773,False
3,400,40.0,0.007397010848949245,False
4,400,40.0,0.007057163020465773,False
4,400,40.0,0.007397010848949245,False
1,400,33.0,0.006502463054187192,False
1,400,33.0,0.006627836915043182,True
2,400,33.0,0.006502463054187192,False
2,400,33.0,0.006627836915043182,True
3,400,33.0,0.006502463054187192,False
3,400,33.0,0.006627836915043182,True
4,400,33.0,0.006502463054187192,False
4,400,33.0,0.006627836915043182,True
1,400,27.0,0.007685738684884714,False
1,400,27.0,0.007304738715115191,True
2,400,27.0,0.007685738684884714,False
2,400,27.0,0.007304738715115191,True
3,400,27.0,0.007685738684884714,False
3,400,27.0,0.007304738715115191,True
4,400,27.0,0.007685738684884714,False
4,400,27.0,0.007304738715115191,True
1,400,20.0,0.007681423084697797,True
1,400,20.0,0.0059191875136297084,True
2,400,20.0,0.007681423084697797,True
2,400,20.0,0.0059191875136297084,True
3,400,20.0,0.007681423084697797,True
3,400,20.0,0.0059191875136297084,True
4,400,20.0,0.007681423084697797,True
4,400,20.0,0.0059191875136297084,True
1,400,13.0,0.00702956020187455,True
1,400,13.0,0.008609271523178808,True
2,400,13.0,0.00702956020187455,True
2,400,13.0,0.008609271523178808,True
