clique size,fraction correct
156,0.96
154,0.94
152,0.95
151,0.94
149,0.96
148,0.95
146,0.94
145,0.96
143,0.95
141,0.95
140,0.94
138,0.96
137,0.97
135,0.97
134,0.95
132,0.95
130,0.96
129,0.97
127,0.94
126,0.95
124,0.96
123,0.97
121,0.96
119,0.96
118,0.97
116,0.95
115,0.95
113,0.97
112,0.95
110,0.96
109,0.96
107,0.95
105,0.95
104,0.95
102,0.95
101,0.95
99,0.97
98,0.96
96,0.95
94,0.96
93,0.95
91,0.95
90,0.96
88,0.95
87,0.95
85,0.96
83,0.95
82,0.94
80,0.95
79,0.94
77,0.95
76,0.97
74,0.94
73,0.93
71,0.95
69,0.97
68,0.94
66,0.96
65,0.94
63,0.94
62,0.95
60,0.94
58,0.93
57,0.92
55,0.9
54,0.88
52,0.86
51,0.83
49,0.78
47,0.78
46,0.76
44,0.73
43,0.68
41,0.67
40,0.65
38,0.6
37,0.58
35,0.57
33,0.51
32,0.55
30,0.58
29,0.54
27,0.52
26,0.51
24,0.49
22,0.53
21,0.48
19,0.51
18,0.5
16,0.51
15,0.48
13,0.52
11,0.48
10,0.49
8,0.51
7,0.51
5,0.54
4,0.5
2,0.49
1,0.52
