clique size,fraction correct
156,0.49
154,0.53
152,0.52
151,0.49
149,0.53
148,0.55
146,0.56
145,0.5
143,0.52
141,0.5
140,0.53
138,0.51
137,0.51
135,0.52
134,0.51
132,0.5
130,0.49
129,0.51
127,0.48
126,0.53
124,0.48
123,0.52
121,0.48
119,0.49
118,0.51
116,0.57
115,0.52
113,0.51
112,0.5
110,0.51
109,0.52
107,0.52
105,0.5
104,0.51
102,0.49
101,0.51
99,0.49
98,0.52
96,0.53
94,0.49
93,0.47
91,0.52
90,0.5
88,0.47
87,0.51
85,0.53
83,0.45
82,0.5
80,0.53
79,0.54
77,0.51
76,0.54
74,0.51
73,0.52
71,0.52
69,0.49
68,0.5
66,0.49
65,0.5
63,0.51
62,0.52
60,0.48
58,0.49
57,0.48
55,0.49
54,0.5
52,0.54
51,0.49
49,0.51
47,0.46
46,0.5
44,0.48
43,0.53
41,0.53
40,0.48
38,0.5
37,0.49
35,0.54
33,0.49
32,0.51
30,0.51
29,0.47
27,0.54
26,0.49
24,0.47
22,0.49
21,0.54
19,0.53
18,0.54
16,0.49
15,0.51
13,0.47
11,0.49
10,0.49
8,0.55
7,0.52
5,0.5
4,0.49
2,0.51
1,0.52
