clique size,fraction correct
156,1.0
154,1.0
152,1.0
151,1.0
149,1.0
148,1.0
146,1.0
145,1.0
143,1.0
141,1.0
140,1.0
138,1.0
137,1.0
135,1.0
134,1.0
132,1.0
130,1.0
129,1.0
127,1.0
126,1.0
124,1.0
123,1.0
121,1.0
119,1.0
118,1.0
116,1.0
115,1.0
113,1.0
112,1.0
110,1.0
109,1.0
107,1.0
105,1.0
104,1.0
102,1.0
101,1.0
99,1.0
98,1.0
96,1.0
94,1.0
93,1.0
91,1.0
90,1.0
88,1.0
87,1.0
85,1.0
83,1.0
82,0.99
80,1.0
79,0.99
77,0.99
76,0.99
74,0.98
73,0.98
71,0.96
69,0.95
68,0.95
66,0.91
65,0.9
63,0.84
62,0.84
60,0.79
58,0.77
57,0.73
55,0.69
54,0.67
52,0.67
51,0.61
49,0.62
47,0.55
46,0.56
44,0.51
43,0.5
41,0.53
40,0.56
38,0.54
37,0.52
35,0.53
33,0.53
32,0.5
30,0.51
29,0.49
27,0.49
26,0.51
24,0.51
22,0.51
21,0.53
19,0.48
18,0.51
16,0.53
15,0.49
13,0.51
11,0.5
10,0.48
8,0.52
7,0.5
5,0.52
4,0.49
2,0.52
1,0.52
