clique size,fraction correct
156,0.94
154,0.93
152,0.95
151,0.93
149,0.95
148,0.93
146,0.94
145,0.96
143,0.93
141,0.96
140,0.92
138,0.93
137,0.95
135,0.93
134,0.95
132,0.94
130,0.96
129,0.94
127,0.95
126,0.96
124,0.97
123,0.93
121,0.95
119,0.94
118,0.94
116,0.94
115,0.94
113,0.95
112,0.94
110,0.95
109,0.96
107,0.93
105,0.94
104,0.94
102,0.97
101,0.94
99,0.96
98,0.94
96,0.96
94,0.96
93,0.96
91,0.95
90,0.94
88,0.96
87,0.93
85,0.93
83,0.96
82,0.96
80,0.93
79,0.95
77,0.94
76,0.95
74,0.95
73,0.94
71,0.95
69,0.94
68,0.95
66,0.94
65,0.94
63,0.95
62,0.94
60,0.93
58,0.91
57,0.92
55,0.9
54,0.86
52,0.87
51,0.85
49,0.8
47,0.76
46,0.75
44,0.73
43,0.7
41,0.69
40,0.68
38,0.6
37,0.63
35,0.57
33,0.55
32,0.59
30,0.53
29,0.55
27,0.52
26,0.52
24,0.52
22,0.47
21,0.52
19,0.51
18,0.5
16,0.51
15,0.53
13,0.49
11,0.48
10,0.47
8,0.5
7,0.49
5,0.46
4,0.53
2,0.51
1,0.5
