clique size,fraction correct
70,0.51
69,0.53
68,0.54
67,0.46
66,0.48
65,0.52
64,0.46
63,0.49
62,0.53
61,0.51
60,0.49
59,0.49
58,0.45
57,0.48
56,0.5
55,0.5
54,0.52
53,0.5
52,0.47
51,0.58
50,0.49
49,0.48
48,0.48
47,0.49
46,0.53
45,0.47
44,0.48
43,0.53
42,0.53
41,0.55
40,0.49
39,0.46
38,0.47
37,0.5
36,0.5
35,0.54
34,0.55
33,0.47
32,0.51
31,0.47
30,0.5
29,0.49
28,0.5
27,0.5
26,0.47
25,0.54
24,0.5
23,0.53
22,0.48
21,0.52
20,0.51
19,0.5
18,0.53
17,0.48
16,0.52
15,0.51
14,0.51
13,0.48
12,0.48
11,0.5
10,0.48
9,0.53
8,0.48
7,0.5
6,0.54
5,0.5
4,0.51
3,0.47
2,0.53
1,0.51
