clique size,fraction correct
70,0.48
69,0.5
68,0.53
67,0.48
66,0.5
65,0.51
64,0.51
63,0.51
62,0.51
61,0.49
60,0.49
59,0.5
58,0.52
57,0.5
56,0.48
55,0.51
54,0.47
53,0.54
52,0.47
51,0.47
50,0.48
49,0.48
48,0.49
47,0.51
46,0.49
45,0.49
44,0.52
43,0.48
42,0.57
41,0.48
40,0.46
39,0.47
38,0.53
37,0.48
36,0.52
35,0.5
34,0.5
33,0.53
32,0.5
31,0.52
30,0.54
29,0.49
28,0.53
27,0.53
26,0.47
25,0.52
24,0.53
23,0.48
22,0.52
21,0.52
20,0.45
19,0.49
18,0.46
17,0.49
16,0.51
15,0.46
14,0.47
13,0.52
12,0.5
11,0.49
10,0.52
9,0.51
8,0.5
7,0.51
6,0.52
5,0.53
4,0.51
3,0.52
2,0.51
1,0.48
