clique size,fraction correct
70,0.99
69,0.98
68,0.98
67,0.99
66,0.98
65,0.98
64,0.99
63,0.98
62,0.99
61,0.99
60,0.99
59,0.98
58,0.99
57,0.98
56,1.0
55,0.99
54,0.99
53,0.99
52,0.99
51,0.98
50,0.99
49,0.97
48,0.99
47,0.99
46,0.99
45,0.99
44,0.99
43,0.99
42,1.0
41,1.0
40,0.99
39,0.98
38,0.98
37,0.99
36,0.98
35,0.96
34,0.95
33,0.95
32,0.91
31,0.88
30,0.85
29,0.8
28,0.8
27,0.78
26,0.71
25,0.68
24,0.63
23,0.65
22,0.58
21,0.56
20,0.55
19,0.55
18,0.52
17,0.49
16,0.51
15,0.53
14,0.51
13,0.53
12,0.5
11,0.48
10,0.49
9,0.47
8,0.49
7,0.49
6,0.54
5,0.5
4,0.49
3,0.51
2,0.48
1,0.52
