clique size,fraction correct
70,0.97
69,0.97
68,0.96
67,0.97
66,0.97
65,0.94
64,0.95
63,0.96
62,0.97
61,0.95
60,0.98
59,0.95
58,0.97
57,0.96
56,0.97
55,0.95
54,0.97
53,0.96
52,0.96
51,0.98
50,0.95
49,0.96
48,0.96
47,0.95
46,0.97
45,0.96
44,0.94
43,0.97
42,0.97
41,0.97
40,0.94
39,0.97
38,0.97
37,0.95
36,0.94
35,0.96
34,0.95
33,0.96
32,0.96
31,0.93
30,0.89
29,0.9
28,0.86
27,0.81
26,0.81
25,0.72
24,0.73
23,0.76
22,0.61
21,0.63
20,0.62
19,0.59
18,0.52
17,0.57
16,0.58
15,0.54
14,0.49
13,0.52
12,0.53
11,0.53
10,0.5
9,0.48
8,0.53
7,0.49
6,0.51
5,0.46
4,0.5
3,0.49
2,0.49
1,0.53
