clique size,fraction correct
70,0.98
69,0.99
68,0.98
67,0.98
66,0.99
65,0.99
64,0.99
63,0.99
62,0.99
61,0.99
60,0.98
59,0.99
58,0.98
57,0.99
56,0.99
55,0.98
54,1.0
53,0.99
52,0.99
51,0.99
50,0.99
49,0.99
48,0.98
47,0.98
46,0.98
45,0.99
44,0.98
43,0.99
42,0.98
41,0.99
40,0.99
39,1.0
38,0.98
37,0.99
36,0.99
35,0.98
34,0.98
33,0.97
32,0.95
31,0.93
30,0.91
29,0.85
28,0.82
27,0.78
26,0.8
25,0.71
24,0.71
23,0.66
22,0.59
21,0.58
20,0.53
19,0.53
18,0.62
17,0.54
16,0.52
15,0.52
14,0.49
13,0.52
12,0.51
11,0.52
10,0.53
9,0.5
8,0.54
7,0.47
6,0.44
5,0.51
4,0.51
3,0.52
2,0.49
1,0.5
