clique size,fraction correct
280,0.49
277,0.48
274,0.46
271,0.49
268,0.49
265,0.48
263,0.47
260,0.47
257,0.5
254,0.54
251,0.49
249,0.49
246,0.52
243,0.51
240,0.48
237,0.53
234,0.52
232,0.52
229,0.5
226,0.51
223,0.48
220,0.5
218,0.56
215,0.5
212,0.54
209,0.46
206,0.54
203,0.52
201,0.48
198,0.49
195,0.48
192,0.52
189,0.48
187,0.53
184,0.44
181,0.5
178,0.51
175,0.48
172,0.51
170,0.51
167,0.49
164,0.53
161,0.47
158,0.49
156,0.46
153,0.49
150,0.5
147,0.47
144,0.44
141,0.49
139,0.53
136,0.52
133,0.53
130,0.51
127,0.49
125,0.48
122,0.53
119,0.52
116,0.55
113,0.47
110,0.51
108,0.51
105,0.47
102,0.52
99,0.45
96,0.48
94,0.51
91,0.53
88,0.45
85,0.46
82,0.48
79,0.51
77,0.49
74,0.53
71,0.53
68,0.46
65,0.48
63,0.48
60,0.48
57,0.48
54,0.52
51,0.55
48,0.45
46,0.49
43,0.45
40,0.53
37,0.47
34,0.49
32,0.53
29,0.54
26,0.55
23,0.51
20,0.52
17,0.51
15,0.48
12,0.5
9,0.48
6,0.53
3,0.51
1,0.49
