clique size,fraction correct
280,1.0
277,1.0
274,1.0
271,1.0
268,1.0
265,1.0
263,1.0
260,1.0
257,1.0
254,1.0
251,1.0
249,1.0
246,1.0
243,1.0
240,1.0
237,1.0
234,1.0
232,1.0
229,1.0
226,1.0
223,1.0
220,1.0
218,1.0
215,1.0
212,1.0
209,1.0
206,1.0
203,1.0
201,1.0
198,1.0
195,1.0
192,1.0
189,1.0
187,1.0
184,1.0
181,1.0
178,1.0
175,1.0
172,1.0
170,1.0
167,0.99
164,0.99
161,0.98
158,0.98
156,0.97
153,0.95
150,0.94
147,0.94
144,0.92
141,0.88
139,0.88
136,0.83
133,0.79
130,0.76
127,0.76
125,0.72
122,0.7
119,0.7
116,0.62
113,0.62
110,0.58
108,0.57
105,0.56
102,0.56
99,0.54
96,0.5
94,0.49
91,0.48
88,0.52
85,0.5
82,0.47
79,0.48
77,0.48
74,0.48
71,0.49
68,0.53
65,0.5
63,0.52
60,0.53
57,0.49
54,0.51
51,0.5
48,0.49
46,0.53
43,0.53
40,0.5
37,0.48
34,0.52
32,0.45
29,0.43
26,0.51
23,0.49
20,0.5
17,0.54
15,0.47
12,0.54
9,0.49
6,0.53
3,0.51
1,0.53
