clique size,fraction correct
420,1.0
415,1.0
411,0.99
407,1.0
403,0.99
398,0.99
394,0.99
390,0.99
386,0.99
381,0.99
377,0.99
373,0.99
369,0.99
364,1.0
360,1.0
356,0.99
352,0.99
348,0.99
343,0.99
339,0.99
335,1.0
331,1.0
326,1.0
322,0.99
318,0.98
314,0.99
309,0.99
305,1.0
301,0.99
297,0.99
293,0.99
288,0.99
284,0.99
280,0.99
276,1.0
271,0.99
267,0.99
263,0.99
259,0.99
254,0.99
250,0.99
246,1.0
242,0.99
238,1.0
233,0.99
229,0.99
225,0.99
221,0.99
216,0.99
212,0.99
208,0.99
204,0.99
199,0.99
195,1.0
191,0.99
187,0.99
182,0.99
178,1.0
174,0.99
170,1.0
166,1.0
161,0.99
157,0.99
153,0.99
149,1.0
144,1.0
140,0.99
136,0.99
132,0.99
127,0.99
123,0.99
119,0.99
115,0.99
111,0.99
106,0.99
102,0.98
98,0.95
94,0.94
89,0.84
85,0.8
81,0.75
77,0.73
72,0.62
68,0.54
64,0.56
60,0.56
56,0.56
51,0.53
47,0.52
43,0.51
39,0.56
34,0.49
30,0.49
26,0.52
22,0.5
17,0.48
13,0.48
9,0.47
5,0.49
1,0.51
