clique size,fraction correct
420,0.98
415,0.96
411,0.98
407,0.98
403,0.97
398,0.97
394,0.96
390,0.97
386,0.98
381,0.98
377,0.98
373,0.97
369,0.97
364,0.98
360,0.97
356,0.97
352,0.98
348,0.97
343,0.98
339,0.97
335,0.98
331,0.99
326,0.98
322,0.99
318,0.98
314,0.97
309,0.98
305,0.98
301,0.98
297,0.97
293,0.98
288,0.99
284,0.98
280,0.97
276,0.96
271,0.98
267,0.98
263,0.98
259,0.97
254,0.97
250,0.99
246,0.97
242,0.97
238,0.98
233,0.98
229,0.98
225,0.98
221,0.99
216,0.97
212,0.97
208,0.97
204,0.98
199,0.98
195,0.98
191,0.97
187,0.98
182,0.98
178,0.98
174,0.97
170,0.97
166,0.98
161,0.99
157,0.98
153,0.98
149,0.99
144,0.98
140,0.98
136,0.97
132,0.99
127,0.98
123,0.98
119,0.97
115,0.98
111,0.96
106,0.96
102,0.94
98,0.88
94,0.88
89,0.81
85,0.77
81,0.74
77,0.65
72,0.63
68,0.62
64,0.56
60,0.57
56,0.53
51,0.53
47,0.5
43,0.51
39,0.54
34,0.51
30,0.52
26,0.48
22,0.54
17,0.52
13,0.47
9,0.46
5,0.51
1,0.49
