clique size,fraction correct
140,0.99
138,1.0
137,0.99
135,0.99
134,0.99
132,1.0
131,1.0
130,1.0
128,1.0
127,1.0
125,0.99
124,0.99
123,1.0
121,0.99
120,0.99
118,0.99
117,0.99
116,0.99
114,1.0
113,0.99
111,0.99
110,1.0
109,0.99
107,1.0
106,1.0
104,0.99
103,0.99
102,0.99
100,0.99
99,0.99
97,0.99
96,0.99
95,0.99
93,0.98
92,1.0
90,1.0
89,1.0
88,0.99
86,0.99
85,1.0
83,0.99
82,1.0
81,1.0
79,0.99
78,1.0
76,0.99
75,0.98
74,0.99
72,0.98
71,0.99
69,0.97
68,0.97
66,0.95
65,0.93
64,0.94
62,0.89
61,0.9
59,0.86
58,0.86
57,0.82
55,0.8
54,0.78
52,0.74
51,0.71
50,0.67
48,0.66
47,0.62
45,0.62
44,0.58
43,0.61
41,0.54
40,0.56
38,0.59
37,0.54
36,0.55
34,0.52
33,0.52
31,0.53
30,0.54
29,0.55
27,0.49
26,0.57
24,0.5
23,0.54
22,0.51
20,0.49
19,0.52
17,0.49
16,0.5
15,0.48
13,0.54
12,0.5
10,0.49
9,0.49
8,0.46
6,0.5
5,0.47
3,0.47
2,0.49
1,0.5
