clique size,fraction correct
210,0.97
207,0.96
205,0.97
203,0.96
201,0.97
199,0.97
197,0.97
195,0.98
193,0.96
191,0.95
188,0.96
186,0.96
184,0.97
182,0.97
180,0.98
178,0.96
176,0.98
174,0.97
172,0.95
169,0.96
167,0.98
165,0.96
163,0.98
161,0.97
159,0.98
157,0.95
155,0.98
153,0.96
150,0.96
148,0.97
146,0.96
144,0.96
142,0.97
140,0.97
138,0.98
136,0.97
134,0.97
131,0.98
129,0.98
127,0.98
125,0.97
123,0.97
121,0.97
119,0.98
117,0.96
115,0.97
112,0.98
110,0.97
108,0.97
106,0.98
104,0.98
102,0.95
100,0.97
98,0.98
96,0.97
93,0.97
91,0.96
89,0.96
87,0.97
85,0.98
83,0.96
81,0.96
79,0.98
77,0.97
74,0.97
72,0.96
70,0.96
68,0.98
66,0.97
64,0.95
62,0.94
60,0.92
58,0.87
55,0.87
53,0.81
51,0.77
49,0.73
47,0.7
45,0.63
43,0.65
41,0.61
39,0.56
36,0.53
34,0.5
32,0.55
30,0.52
28,0.54
26,0.49
24,0.51
22,0.49
20,0.48
17,0.48
15,0.53
13,0.51
11,0.54
9,0.49
7,0.5
5,0.47
3,0.48
1,0.47
