clique size,fraction correct
280,1.0
277,1.0
274,1.0
271,1.0
268,1.0
265,1.0
263,1.0
260,1.0
257,1.0
254,1.0
251,1.0
249,1.0
246,1.0
243,1.0
240,1.0
237,1.0
234,1.0
232,1.0
229,1.0
226,1.0
223,1.0
220,1.0
218,1.0
215,1.0
212,1.0
209,1.0
206,1.0
203,1.0
201,1.0
198,1.0
195,1.0
192,1.0
189,1.0
187,1.0
184,1.0
181,1.0
178,1.0
175,1.0
172,1.0
170,1.0
167,1.0
164,1.0
161,1.0
158,1.0
156,1.0
153,1.0
150,1.0
147,1.0
144,1.0
141,1.0
139,1.0
136,1.0
133,1.0
130,1.0
127,1.0
125,1.0
122,1.0
119,1.0
116,0.99
113,0.99
110,0.98
108,0.99
105,0.98
102,0.96
99,0.96
96,0.91
94,0.87
91,0.83
88,0.79
85,0.75
82,0.74
79,0.66
77,0.66
74,0.57
71,0.56
68,0.56
65,0.54
63,0.51
60,0.5
57,0.49
54,0.49
51,0.45
48,0.49
46,0.51
43,0.48
40,0.54
37,0.53
34,0.52
32,0.46
29,0.51
26,0.47
23,0.51
20,0.46
17,0.5
15,0.47
12,0.48
9,0.5
6,0.49
3,0.5
1,0.51
