clique size,fraction correct
336,1.0
332,1.0
329,1.0
325,1.0
322,1.0
319,1.0
315,1.0
312,1.0
308,1.0
305,1.0
302,1.0
298,1.0
295,1.0
292,1.0
288,1.0
285,1.0
281,1.0
278,1.0
275,1.0
271,1.0
268,1.0
264,1.0
261,1.0
258,1.0
254,1.0
251,1.0
248,1.0
244,1.0
241,1.0
237,1.0
234,1.0
231,1.0
227,1.0
224,1.0
220,1.0
217,1.0
214,1.0
210,1.0
207,1.0
204,1.0
200,1.0
197,1.0
193,1.0
190,1.0
187,1.0
183,1.0
180,1.0
176,1.0
173,1.0
170,1.0
166,1.0
163,1.0
160,1.0
156,1.0
153,1.0
149,1.0
146,1.0
143,1.0
139,1.0
136,1.0
132,1.0
129,1.0
126,1.0
122,1.0
119,1.0
116,1.0
112,1.0
109,1.0
105,1.0
102,1.0
99,1.0
95,1.0
92,1.0
88,1.0
85,1.0
82,1.0
78,1.0
75,1.0
72,0.99
68,0.97
65,0.93
61,0.83
58,0.74
55,0.61
51,0.58
48,0.54
44,0.51
41,0.49
38,0.52
34,0.52
31,0.47
28,0.52
24,0.46
21,0.51
17,0.51
14,0.51
11,0.51
7,0.5
4,0.49
1,0.51
