clique size,fraction correct
560,1.0
554,1.0
548,1.0
543,0.99
537,1.0
531,1.0
526,1.0
520,1.0
514,1.0
509,1.0
503,1.0
497,1.0
492,1.0
486,1.0
480,1.0
475,1.0
469,1.0
464,1.0
458,1.0
452,0.99
447,1.0
441,0.99
435,1.0
430,1.0
424,0.99
418,1.0
413,1.0
407,1.0
401,1.0
396,0.99
390,1.0
384,0.99
379,1.0
373,1.0
368,0.99
362,0.99
356,1.0
351,0.99
345,1.0
339,0.99
334,1.0
328,1.0
322,0.99
317,1.0
311,1.0
305,0.99
300,1.0
294,1.0
288,0.99
283,1.0
277,1.0
272,1.0
266,0.99
260,1.0
255,1.0
249,0.99
243,0.99
238,0.99
232,0.97
226,0.96
221,0.96
215,0.95
209,0.92
204,0.91
198,0.91
192,0.87
187,0.82
181,0.8
176,0.76
170,0.73
164,0.69
159,0.67
153,0.62
147,0.59
142,0.59
136,0.55
130,0.58
125,0.49
119,0.53
113,0.5
108,0.62
102,0.52
96,0.51
91,0.5
85,0.52
80,0.52
74,0.5
68,0.5
63,0.49
57,0.49
51,0.53
46,0.5
40,0.47
34,0.53
29,0.52
23,0.49
17,0.51
12,0.48
6,0.52
1,0.51
