clique size,fraction correct
70,0.97
69,0.97
68,0.97
67,0.96
66,0.96
65,0.97
64,0.96
63,0.97
62,0.96
61,0.96
60,0.96
59,0.96
58,0.99
57,0.97
56,0.95
55,0.97
54,0.97
53,0.97
52,0.96
51,0.97
50,0.98
49,0.96
48,0.95
47,0.96
46,0.97
45,0.98
44,0.96
43,0.97
42,0.97
41,0.97
40,0.96
39,0.97
38,0.98
37,0.96
36,0.95
35,0.97
34,0.97
33,0.95
32,0.94
31,0.91
30,0.87
29,0.84
28,0.84
27,0.82
26,0.75
25,0.73
24,0.68
23,0.69
22,0.65
21,0.61
20,0.59
19,0.56
18,0.55
17,0.54
16,0.55
15,0.52
14,0.53
13,0.53
12,0.53
11,0.52
10,0.54
9,0.51
8,0.53
7,0.52
6,0.5
5,0.5
4,0.44
3,0.47
2,0.5
1,0.48
