clique size,fraction correct
840,1.0
831,0.99
823,1.0
814,1.0
806,1.0
797,1.0
789,1.0
780,1.0
772,1.0
763,1.0
755,0.99
746,1.0
738,1.0
729,1.0
721,1.0
712,1.0
704,1.0
695,1.0
687,1.0
678,1.0
670,1.0
662,1.0
653,1.0
645,1.0
636,0.99
628,0.99
619,1.0
611,1.0
602,1.0
594,1.0
585,1.0
577,1.0
568,0.99
560,1.0
551,1.0
543,1.0
534,0.99
526,0.99
517,1.0
509,1.0
501,1.0
492,1.0
484,1.0
475,0.99
467,1.0
458,0.99
450,1.0
441,0.99
433,0.98
424,0.98
416,0.97
407,0.98
399,0.95
390,0.95
382,0.94
373,0.93
365,0.93
356,0.88
348,0.87
339,0.85
331,0.83
323,0.77
314,0.76
306,0.75
297,0.67
289,0.69
280,0.65
272,0.63
263,0.58
255,0.57
246,0.59
238,0.59
229,0.58
221,0.54
212,0.53
204,0.52
195,0.55
187,0.52
178,0.5
170,0.51
162,0.52
153,0.49
145,0.49
136,0.48
128,0.54
119,0.53
111,0.5
102,0.52
94,0.51
85,0.48
77,0.48
68,0.55
60,0.53
51,0.47
43,0.51
34,0.51
26,0.48
17,0.52
9,0.47
1,0.48
