clique size,fraction correct
210,0.98
207,0.98
205,0.98
203,0.97
201,0.98
199,0.97
197,0.98
195,0.97
193,0.97
191,0.97
188,0.98
186,0.97
184,0.98
182,0.97
180,0.97
178,0.98
176,0.98
174,0.96
172,0.98
169,0.98
167,0.98
165,0.98
163,0.96
161,0.98
159,0.98
157,0.98
155,0.98
153,0.99
150,0.98
148,0.98
146,0.98
144,0.98
142,0.99
140,0.99
138,0.99
136,0.98
134,0.97
131,0.97
129,0.98
127,0.98
125,0.98
123,0.98
121,0.98
119,0.98
117,0.97
115,0.98
112,0.97
110,0.98
108,0.97
106,0.98
104,0.98
102,0.97
100,0.98
98,0.97
96,0.98
93,0.98
91,0.99
89,0.99
87,0.98
85,0.98
83,0.99
81,0.98
79,0.97
77,0.98
74,0.99
72,0.97
70,0.98
68,0.99
66,0.98
64,0.99
62,0.99
60,0.98
58,0.94
55,0.91
53,0.9
51,0.88
49,0.81
47,0.77
45,0.74
43,0.66
41,0.65
39,0.61
36,0.61
34,0.55
32,0.54
30,0.59
28,0.56
26,0.51
24,0.55
22,0.55
20,0.49
17,0.49
15,0.47
13,0.49
11,0.52
9,0.5
7,0.52
5,0.51
3,0.48
1,0.5
