clique size,fraction correct
280,1.0
277,0.99
274,1.0
271,1.0
268,1.0
265,1.0
263,0.99
260,0.99
257,0.99
254,0.99
251,0.99
249,1.0
246,1.0
243,1.0
240,1.0
237,0.99
234,0.99
232,0.99
229,0.99
226,0.99
223,1.0
220,1.0
218,0.99
215,1.0
212,1.0
209,1.0
206,0.99
203,1.0
201,1.0
198,0.99
195,1.0
192,1.0
189,1.0
187,1.0
184,1.0
181,1.0
178,1.0
175,1.0
172,1.0
170,0.99
167,1.0
164,0.99
161,1.0
158,0.99
156,1.0
153,0.99
150,1.0
147,0.99
144,0.99
141,0.99
139,0.98
136,0.99
133,0.99
130,0.98
127,0.98
125,0.97
122,0.94
119,0.92
116,0.92
113,0.93
110,0.87
108,0.86
105,0.85
102,0.8
99,0.79
96,0.73
94,0.71
91,0.69
88,0.66
85,0.63
82,0.62
79,0.57
77,0.56
74,0.59
71,0.56
68,0.55
65,0.49
63,0.56
60,0.51
57,0.53
54,0.47
51,0.48
48,0.53
46,0.49
43,0.49
40,0.49
37,0.48
34,0.52
32,0.54
29,0.51
26,0.52
23,0.49
20,0.53
17,0.5
15,0.46
12,0.52
9,0.52
6,0.51
3,0.5
1,0.5
