clique size,fraction correct
840,1.0
831,1.0
823,0.99
814,0.99
806,1.0
797,0.99
789,0.99
780,1.0
772,1.0
763,1.0
755,1.0
746,1.0
738,0.99
729,1.0
721,1.0
712,0.99
704,0.99
695,0.99
687,0.99
678,1.0
670,0.99
662,1.0
653,1.0
645,1.0
636,0.99
628,1.0
619,0.99
611,1.0
602,0.99
594,0.99
585,0.99
577,1.0
568,0.99
560,0.99
551,0.99
543,1.0
534,0.99
526,0.99
517,0.99
509,1.0
501,0.99
492,0.99
484,1.0
475,1.0
467,1.0
458,1.0
450,1.0
441,1.0
433,1.0
424,1.0
416,0.99
407,1.0
399,1.0
390,1.0
382,0.99
373,0.99
365,0.99
356,0.98
348,0.98
339,0.98
331,0.96
323,0.94
314,0.91
306,0.91
297,0.86
289,0.84
280,0.78
272,0.79
263,0.74
255,0.71
246,0.67
238,0.63
229,0.65
221,0.6
212,0.59
204,0.56
195,0.54
187,0.55
178,0.5
170,0.55
162,0.49
153,0.47
145,0.54
136,0.51
128,0.5
119,0.5
111,0.5
102,0.47
94,0.47
85,0.43
77,0.51
68,0.51
60,0.5
51,0.5
43,0.51
34,0.52
26,0.5
17,0.52
9,0.51
1,0.52
