clique size,fraction correct
105,0.96
103,0.97
102,0.98
101,0.96
100,0.97
99,0.95
98,0.97
97,0.96
96,0.96
95,0.96
94,0.96
93,0.95
92,0.97
91,0.95
90,0.97
89,0.96
88,0.95
87,0.96
86,0.97
85,0.98
83,0.97
82,0.96
81,0.97
80,0.96
79,0.95
78,0.96
77,0.98
76,0.97
75,0.97
74,0.97
73,0.97
72,0.97
71,0.97
70,0.98
69,0.97
68,0.97
67,0.96
66,0.96
65,0.97
64,0.96
62,0.97
61,0.95
60,0.96
59,0.96
58,0.96
57,0.96
56,0.97
55,0.96
54,0.97
53,0.96
52,0.97
51,0.94
50,0.96
49,0.97
48,0.97
47,0.97
46,0.98
45,0.98
44,0.95
43,0.97
41,0.96
40,0.96
39,0.94
38,0.93
37,0.91
36,0.88
35,0.85
34,0.83
33,0.8
32,0.79
31,0.69
30,0.7
29,0.66
28,0.67
27,0.62
26,0.65
25,0.62
24,0.59
23,0.55
22,0.53
20,0.55
19,0.52
18,0.54
17,0.53
16,0.49
15,0.5
14,0.54
13,0.51
12,0.5
11,0.51
10,0.49
9,0.52
8,0.5
7,0.47
6,0.48
5,0.52
4,0.5
3,0.48
2,0.53
1,0.5
