clique size,fraction correct
210,0.48
207,0.46
205,0.56
203,0.5
201,0.52
199,0.49
197,0.52
195,0.53
193,0.49
191,0.49
188,0.49
186,0.5
184,0.52
182,0.48
180,0.49
178,0.52
176,0.53
174,0.48
172,0.5
169,0.52
167,0.49
165,0.47
163,0.5
161,0.5
159,0.49
157,0.49
155,0.47
153,0.54
150,0.45
148,0.5
146,0.52
144,0.49
142,0.51
140,0.46
138,0.52
136,0.5
134,0.5
131,0.48
129,0.51
127,0.49
125,0.51
123,0.51
121,0.47
119,0.53
117,0.5
115,0.53
112,0.51
110,0.54
108,0.52
106,0.49
104,0.49
102,0.53
100,0.49
98,0.53
96,0.51
93,0.47
91,0.48
89,0.47
87,0.5
85,0.53
83,0.5
81,0.49
79,0.52
77,0.49
74,0.47
72,0.51
70,0.45
68,0.48
66,0.5
64,0.5
62,0.51
60,0.51
58,0.47
55,0.51
53,0.51
51,0.52
49,0.5
47,0.52
45,0.5
43,0.5
41,0.49
39,0.48
36,0.49
34,0.49
32,0.54
30,0.52
28,0.51
26,0.5
24,0.5
22,0.48
20,0.51
17,0.48
15,0.49
13,0.48
11,0.54
9,0.49
7,0.51
5,0.49
3,0.54
1,0.49
