clique size,fraction correct
840,0.95
831,0.96
823,0.97
814,0.98
806,0.97
797,0.99
789,1.0
780,0.99
772,0.99
763,0.99
755,0.99
746,1.0
738,1.0
729,0.99
721,1.0
712,1.0
704,1.0
695,0.99
687,0.99
678,0.99
670,1.0
662,0.99
653,1.0
645,1.0
636,0.99
628,0.99
619,0.99
611,1.0
602,1.0
594,1.0
585,1.0
577,1.0
568,1.0
560,1.0
551,1.0
543,0.99
534,0.99
526,1.0
517,1.0
509,1.0
501,1.0
492,1.0
484,1.0
475,1.0
467,1.0
458,0.99
450,1.0
441,1.0
433,0.99
424,1.0
416,1.0
407,1.0
399,0.99
390,0.99
382,1.0
373,1.0
365,1.0
356,1.0
348,1.0
339,1.0
331,1.0
323,1.0
314,1.0
306,0.99
297,0.99
289,1.0
280,0.99
272,1.0
263,0.99
255,0.98
246,0.97
238,0.95
229,0.94
221,0.91
212,0.87
204,0.82
195,0.78
187,0.74
178,0.71
170,0.64
162,0.62
153,0.55
145,0.52
136,0.51
128,0.49
119,0.52
111,0.51
102,0.49
94,0.53
85,0.48
77,0.52
68,0.55
60,0.48
51,0.49
43,0.52
34,0.48
26,0.55
17,0.48
9,0.55
1,0.47
