clique size,fraction correct
105,0.9
103,0.9
102,0.93
101,0.93
100,0.92
99,0.93
98,0.91
97,0.9
96,0.91
95,0.93
94,0.93
93,0.91
92,0.92
91,0.91
90,0.92
89,0.91
88,0.88
87,0.92
86,0.93
85,0.91
83,0.91
82,0.91
81,0.92
80,0.94
79,0.93
78,0.93
77,0.93
76,0.91
75,0.92
74,0.93
73,0.9
72,0.9
71,0.9
70,0.9
69,0.92
68,0.91
67,0.9
66,0.91
65,0.91
64,0.89
62,0.89
61,0.88
60,0.89
59,0.87
58,0.86
57,0.85
56,0.86
55,0.84
54,0.84
53,0.83
52,0.79
51,0.78
50,0.79
49,0.73
48,0.74
47,0.72
46,0.72
45,0.71
44,0.69
43,0.68
41,0.63
40,0.62
39,0.62
38,0.59
37,0.59
36,0.56
35,0.56
34,0.54
33,0.6
32,0.55
31,0.57
30,0.53
29,0.55
28,0.54
27,0.54
26,0.55
25,0.52
24,0.54
23,0.53
22,0.49
20,0.52
19,0.48
18,0.5
17,0.51
16,0.48
15,0.5
14,0.52
13,0.54
12,0.5
11,0.52
10,0.53
9,0.47
8,0.51
7,0.49
6,0.51
5,0.54
4,0.52
3,0.47
2,0.5
1,0.48
