clique size,fraction correct
140,0.98
138,0.99
137,0.99
135,0.99
134,0.99
132,0.99
131,0.99
130,0.99
128,0.99
127,0.99
125,0.98
124,0.99
123,0.98
121,0.99
120,0.98
118,0.99
117,0.99
116,0.98
114,0.99
113,0.98
111,1.0
110,0.99
109,0.99
107,0.99
106,0.99
104,0.99
103,0.99
102,0.99
100,0.98
99,0.99
97,0.99
96,0.98
95,0.98
93,0.99
92,0.98
90,0.99
89,0.98
88,0.99
86,0.99
85,0.99
83,1.0
82,0.99
81,0.99
79,0.99
78,0.98
76,1.0
75,0.99
74,0.99
72,0.98
71,0.99
69,0.99
68,0.99
66,0.98
65,0.99
64,0.99
62,0.98
61,0.99
59,0.99
58,0.98
57,0.98
55,0.96
54,0.96
52,0.93
51,0.92
50,0.88
48,0.89
47,0.84
45,0.82
44,0.75
43,0.76
41,0.72
40,0.7
38,0.65
37,0.61
36,0.61
34,0.56
33,0.56
31,0.56
30,0.57
29,0.56
27,0.52
26,0.56
24,0.49
23,0.5
22,0.54
20,0.52
19,0.48
17,0.52
16,0.51
15,0.51
13,0.48
12,0.47
10,0.5
9,0.51
8,0.5
6,0.49
5,0.49
3,0.48
2,0.48
1,0.49
