clique size,fraction correct
140,0.97
138,0.96
137,0.97
135,0.96
134,0.97
132,0.98
131,0.97
130,0.97
128,0.98
127,0.98
125,0.97
124,0.97
123,0.97
121,0.97
120,0.97
118,0.97
117,0.97
116,0.96
114,0.98
113,0.97
111,0.98
110,0.98
109,0.97
107,0.98
106,0.97
104,0.97
103,0.96
102,0.98
100,0.96
99,0.96
97,0.98
96,0.98
95,0.97
93,0.97
92,0.97
90,0.97
89,0.97
88,0.98
86,0.97
85,0.98
83,0.97
82,0.97
81,0.97
79,0.98
78,0.97
76,0.97
75,0.98
74,0.96
72,0.96
71,0.96
69,0.97
68,0.96
66,0.98
65,0.97
64,0.96
62,0.98
61,0.96
59,0.98
58,0.98
57,0.97
55,0.99
54,0.97
52,0.98
51,0.97
50,0.98
48,0.97
47,0.96
45,0.98
44,0.99
43,0.96
41,0.97
40,0.96
38,0.97
37,0.97
36,0.95
34,0.94
33,0.91
31,0.81
30,0.86
29,0.78
27,0.68
26,0.71
24,0.64
23,0.62
22,0.57
20,0.56
19,0.6
17,0.56
16,0.51
15,0.54
13,0.52
12,0.5
10,0.5
9,0.55
8,0.52
6,0.5
5,0.48
3,0.49
2,0.53
1,0.52
