clique size,fraction correct
280,1.0
277,1.0
274,1.0
271,1.0
268,1.0
265,1.0
263,1.0
260,1.0
257,1.0
254,1.0
251,0.99
249,1.0
246,1.0
243,1.0
240,1.0
237,1.0
234,1.0
232,1.0
229,1.0
226,1.0
223,1.0
220,1.0
218,1.0
215,1.0
212,1.0
209,1.0
206,1.0
203,1.0
201,1.0
198,1.0
195,1.0
192,1.0
189,1.0
187,1.0
184,1.0
181,0.99
178,1.0
175,1.0
172,1.0
170,1.0
167,1.0
164,1.0
161,1.0
158,0.99
156,0.98
153,0.98
150,0.97
147,0.98
144,0.98
141,0.97
139,0.94
136,0.94
133,0.89
130,0.88
127,0.84
125,0.84
122,0.81
119,0.79
116,0.78
113,0.76
110,0.71
108,0.7
105,0.61
102,0.63
99,0.61
96,0.59
94,0.65
91,0.57
88,0.56
85,0.52
82,0.53
79,0.54
77,0.51
74,0.52
71,0.54
68,0.5
65,0.5
63,0.49
60,0.47
57,0.49
54,0.5
51,0.51
48,0.5
46,0.44
43,0.51
40,0.51
37,0.5
34,0.53
32,0.53
29,0.5
26,0.46
23,0.46
20,0.53
17,0.5
15,0.5
12,0.49
9,0.51
6,0.47
3,0.48
1,0.5
