clique size,fraction correct
560,0.99
554,0.97
548,0.97
543,0.97
537,0.98
531,0.99
526,0.97
520,0.97
514,0.98
509,0.98
503,0.98
497,0.97
492,0.98
486,0.98
480,0.98
475,0.98
469,0.98
464,0.96
458,0.97
452,0.99
447,0.98
441,0.98
435,0.98
430,0.98
424,0.96
418,0.98
413,0.98
407,0.97
401,0.98
396,0.98
390,0.97
384,0.97
379,0.98
373,0.97
368,0.99
362,0.99
356,0.97
351,0.97
345,0.97
339,0.98
334,0.98
328,0.98
322,0.98
317,0.98
311,0.98
305,0.96
300,0.98
294,0.98
288,0.97
283,0.98
277,0.98
272,0.97
266,0.98
260,0.97
255,0.98
249,0.97
243,0.96
238,0.98
232,0.98
226,0.99
221,0.98
215,0.98
209,0.97
204,0.98
198,0.97
192,0.97
187,0.97
181,0.96
176,0.96
170,0.97
164,0.97
159,0.98
153,0.97
147,0.98
142,0.98
136,0.98
130,0.99
125,0.97
119,0.96
113,0.97
108,0.97
102,0.98
96,0.97
91,0.96
85,0.94
80,0.88
74,0.81
68,0.72
63,0.66
57,0.57
51,0.57
46,0.56
40,0.48
34,0.48
29,0.48
23,0.49
17,0.49
12,0.47
6,0.54
1,0.53
