clique size,fraction correct
560,0.99
554,1.0
548,0.99
543,1.0
537,1.0
531,0.99
526,0.99
520,0.99
514,1.0
509,0.99
503,0.99
497,0.99
492,1.0
486,1.0
480,1.0
475,1.0
469,1.0
464,0.99
458,0.99
452,0.99
447,1.0
441,0.99
435,0.99
430,0.99
424,0.99
418,1.0
413,0.99
407,1.0
401,1.0
396,0.99
390,0.99
384,1.0
379,0.99
373,0.99
368,0.99
362,1.0
356,1.0
351,1.0
345,1.0
339,0.99
334,0.98
328,0.99
322,0.99
317,0.99
311,0.99
305,0.99
300,1.0
294,1.0
288,0.99
283,1.0
277,0.99
272,0.99
266,1.0
260,1.0
255,0.99
249,0.99
243,1.0
238,1.0
232,0.99
226,0.99
221,0.99
215,0.99
209,0.99
204,0.99
198,0.99
192,1.0
187,0.99
181,0.99
176,0.98
170,0.98
164,0.96
159,0.95
153,0.93
147,0.91
142,0.86
136,0.85
130,0.77
125,0.76
119,0.73
113,0.69
108,0.62
102,0.64
96,0.54
91,0.53
85,0.53
80,0.53
74,0.52
68,0.49
63,0.46
57,0.46
51,0.51
46,0.5
40,0.49
34,0.54
29,0.5
23,0.51
17,0.51
12,0.48
6,0.45
1,0.45
