clique size,fraction correct
156,1.0
154,1.0
152,1.0
151,1.0
149,1.0
148,1.0
146,1.0
145,1.0
143,1.0
141,1.0
140,1.0
138,1.0
137,1.0
135,1.0
134,1.0
132,1.0
130,1.0
129,1.0
127,1.0
126,1.0
124,1.0
123,1.0
121,1.0
119,1.0
118,1.0
116,1.0
115,1.0
113,1.0
112,1.0
110,1.0
109,1.0
107,1.0
105,1.0
104,1.0
102,1.0
101,1.0
99,1.0
98,1.0
96,1.0
94,1.0
93,1.0
91,1.0
90,1.0
88,1.0
87,1.0
85,1.0
83,1.0
82,1.0
80,1.0
79,1.0
77,1.0
76,1.0
74,1.0
73,1.0
71,1.0
69,1.0
68,1.0
66,0.99
65,1.0
63,1.0
62,0.98
60,0.93
58,0.91
57,0.88
55,0.79
54,0.72
52,0.64
51,0.62
49,0.56
47,0.5
46,0.5
44,0.51
43,0.53
41,0.49
40,0.49
38,0.47
37,0.53
35,0.49
33,0.49
32,0.51
30,0.5
29,0.49
27,0.5
26,0.49
24,0.48
22,0.5
21,0.56
19,0.48
18,0.49
16,0.5
15,0.5
13,0.52
11,0.55
10,0.49
8,0.51
7,0.52
5,0.53
4,0.54
2,0.51
1,0.53
