clique size,fraction correct
156,0.99
154,0.99
152,0.99
151,1.0
149,1.0
148,1.0
146,1.0
145,1.0
143,1.0
141,1.0
140,1.0
138,1.0
137,1.0
135,1.0
134,1.0
132,1.0
130,1.0
129,1.0
127,1.0
126,1.0
124,1.0
123,1.0
121,1.0
119,1.0
118,1.0
116,1.0
115,1.0
113,1.0
112,1.0
110,1.0
109,1.0
107,1.0
105,1.0
104,1.0
102,1.0
101,1.0
99,1.0
98,1.0
96,1.0
94,1.0
93,1.0
91,1.0
90,1.0
88,1.0
87,1.0
85,1.0
83,1.0
82,1.0
80,1.0
79,1.0
77,1.0
76,1.0
74,1.0
73,1.0
71,1.0
69,1.0
68,1.0
66,1.0
65,1.0
63,1.0
62,1.0
60,1.0
58,1.0
57,1.0
55,1.0
54,1.0
52,1.0
51,1.0
49,1.0
47,0.98
46,0.96
44,0.94
43,0.89
41,0.85
40,0.81
38,0.72
37,0.68
35,0.59
33,0.58
32,0.57
30,0.55
29,0.5
27,0.53
26,0.51
24,0.51
22,0.48
21,0.51
19,0.52
18,0.5
16,0.47
15,0.5
13,0.52
11,0.51
10,0.47
8,0.49
7,0.51
5,0.53
4,0.52
2,0.53
1,0.52
