clique size,fraction correct
156,1.0
154,1.0
152,1.0
151,1.0
149,0.99
148,0.99
146,0.99
145,0.99
143,0.99
141,0.99
140,1.0
138,0.99
137,1.0
135,1.0
134,0.99
132,0.99
130,0.99
129,0.99
127,0.99
126,1.0
124,0.99
123,0.99
121,1.0
119,0.99
118,1.0
116,0.98
115,0.99
113,1.0
112,0.99
110,1.0
109,0.99
107,0.99
105,1.0
104,1.0
102,1.0
101,1.0
99,0.99
98,0.99
96,0.99
94,1.0
93,1.0
91,1.0
90,1.0
88,0.99
87,0.99
85,1.0
83,1.0
82,1.0
80,0.99
79,1.0
77,0.99
76,1.0
74,1.0
73,0.99
71,0.99
69,0.99
68,0.98
66,0.98
65,0.96
63,0.96
62,0.92
60,0.92
58,0.88
57,0.86
55,0.81
54,0.79
52,0.78
51,0.71
49,0.66
47,0.66
46,0.6
44,0.59
43,0.62
41,0.57
40,0.55
38,0.54
37,0.55
35,0.53
33,0.53
32,0.52
30,0.56
29,0.53
27,0.51
26,0.5
24,0.51
22,0.49
21,0.49
19,0.51
18,0.52
16,0.51
15,0.48
13,0.49
11,0.47
10,0.5
8,0.46
7,0.49
5,0.51
4,0.5
2,0.53
1,0.48
