clique size,fraction correct
156,0.92
154,0.93
152,0.94
151,0.92
149,0.94
148,0.94
146,0.92
145,0.92
143,0.94
141,0.92
140,0.92
138,0.93
137,0.93
135,0.92
134,0.93
132,0.94
130,0.93
129,0.93
127,0.94
126,0.95
124,0.93
123,0.92
121,0.95
119,0.93
118,0.94
116,0.93
115,0.94
113,0.94
112,0.92
110,0.91
109,0.93
107,0.95
105,0.92
104,0.92
102,0.94
101,0.93
99,0.93
98,0.92
96,0.91
94,0.93
93,0.92
91,0.94
90,0.94
88,0.93
87,0.93
85,0.93
83,0.93
82,0.94
80,0.93
79,0.93
77,0.93
76,0.9
74,0.93
73,0.93
71,0.91
69,0.92
68,0.91
66,0.93
65,0.9
63,0.91
62,0.9
60,0.88
58,0.89
57,0.85
55,0.82
54,0.79
52,0.76
51,0.77
49,0.73
47,0.72
46,0.66
44,0.62
43,0.64
41,0.63
40,0.61
38,0.58
37,0.57
35,0.57
33,0.6
32,0.55
30,0.54
29,0.54
27,0.49
26,0.52
24,0.52
22,0.49
21,0.5
19,0.49
18,0.53
16,0.49
15,0.49
13,0.47
11,0.49
10,0.5
8,0.53
7,0.5
5,0.52
4,0.5
2,0.5
1,0.5
