clique size,fraction correct
156,1.0
154,1.0
152,1.0
151,1.0
149,0.99
148,1.0
146,1.0
145,1.0
143,0.99
141,0.99
140,1.0
138,1.0
137,1.0
135,1.0
134,0.99
132,1.0
130,1.0
129,1.0
127,0.99
126,0.99
124,1.0
123,0.99
121,1.0
119,0.99
118,0.99
116,0.99
115,1.0
113,1.0
112,1.0
110,1.0
109,1.0
107,1.0
105,1.0
104,1.0
102,1.0
101,1.0
99,1.0
98,1.0
96,1.0
94,0.99
93,1.0
91,1.0
90,1.0
88,1.0
87,1.0
85,1.0
83,1.0
82,1.0
80,1.0
79,0.99
77,1.0
76,0.99
74,0.99
73,1.0
71,1.0
69,1.0
68,1.0
66,0.99
65,0.99
63,1.0
62,1.0
60,1.0
58,0.99
57,1.0
55,1.0
54,1.0
52,1.0
51,1.0
49,1.0
47,0.99
46,0.99
44,0.98
43,0.97
41,0.94
40,0.9
38,0.86
37,0.81
35,0.74
33,0.68
32,0.65
30,0.56
29,0.55
27,0.57
26,0.55
24,0.56
22,0.49
21,0.53
19,0.5
18,0.54
16,0.52
15,0.51
13,0.5
11,0.51
10,0.54
8,0.53
7,0.51
5,0.5
4,0.5
2,0.51
1,0.5
