clique size,fraction correct
156,0.94
154,0.92
152,0.96
151,0.94
149,0.93
148,0.94
146,0.96
145,0.93
143,0.92
141,0.94
140,0.94
138,0.95
137,0.93
135,0.94
134,0.94
132,0.95
130,0.94
129,0.97
127,0.96
126,0.95
124,0.95
123,0.95
121,0.95
119,0.95
118,0.93
116,0.94
115,0.95
113,0.93
112,0.96
110,0.95
109,0.95
107,0.94
105,0.93
104,0.95
102,0.93
101,0.93
99,0.94
98,0.94
96,0.95
94,0.93
93,0.92
91,0.93
90,0.95
88,0.94
87,0.93
85,0.93
83,0.95
82,0.93
80,0.97
79,0.94
77,0.94
76,0.93
74,0.94
73,0.94
71,0.93
69,0.94
68,0.91
66,0.92
65,0.9
63,0.91
62,0.9
60,0.87
58,0.84
57,0.84
55,0.8
54,0.8
52,0.75
51,0.72
49,0.68
47,0.66
46,0.7
44,0.64
43,0.62
41,0.58
40,0.6
38,0.56
37,0.54
35,0.56
33,0.53
32,0.5
30,0.53
29,0.52
27,0.53
26,0.49
24,0.51
22,0.51
21,0.51
19,0.48
18,0.5
16,0.46
15,0.5
13,0.54
11,0.53
10,0.49
8,0.49
7,0.5
5,0.52
4,0.51
2,0.47
1,0.5
