clique size,fraction correct
156,0.96
154,0.94
152,0.94
151,0.94
149,0.93
148,0.94
146,0.93
145,0.94
143,0.93
141,0.93
140,0.95
138,0.93
137,0.93
135,0.94
134,0.94
132,0.93
130,0.94
129,0.93
127,0.93
126,0.94
124,0.93
123,0.95
121,0.92
119,0.95
118,0.94
116,0.93
115,0.94
113,0.94
112,0.95
110,0.93
109,0.93
107,0.94
105,0.93
104,0.94
102,0.93
101,0.94
99,0.93
98,0.93
96,0.95
94,0.93
93,0.93
91,0.91
90,0.95
88,0.92
87,0.94
85,0.93
83,0.92
82,0.94
80,0.94
79,0.93
77,0.94
76,0.92
74,0.93
73,0.93
71,0.93
69,0.94
68,0.93
66,0.94
65,0.94
63,0.92
62,0.93
60,0.92
58,0.9
57,0.9
55,0.89
54,0.87
52,0.86
51,0.85
49,0.82
47,0.77
46,0.74
44,0.72
43,0.71
41,0.66
40,0.64
38,0.66
37,0.65
35,0.6
33,0.59
32,0.53
30,0.59
29,0.58
27,0.55
26,0.53
24,0.53
22,0.51
21,0.53
19,0.51
18,0.54
16,0.48
15,0.49
13,0.5
11,0.49
10,0.54
8,0.51
7,0.5
5,0.44
4,0.54
2,0.5
1,0.49
