clique size,fraction correct
156,0.99
154,1.0
152,1.0
151,1.0
149,1.0
148,0.99
146,1.0
145,1.0
143,0.99
141,0.99
140,1.0
138,1.0
137,1.0
135,0.99
134,1.0
132,1.0
130,1.0
129,1.0
127,0.99
126,1.0
124,0.99
123,1.0
121,1.0
119,0.99
118,1.0
116,1.0
115,0.99
113,1.0
112,1.0
110,1.0
109,0.99
107,1.0
105,1.0
104,1.0
102,1.0
101,1.0
99,1.0
98,1.0
96,1.0
94,1.0
93,1.0
91,1.0
90,1.0
88,1.0
87,1.0
85,1.0
83,1.0
82,1.0
80,1.0
79,1.0
77,0.99
76,1.0
74,1.0
73,1.0
71,1.0
69,0.99
68,0.99
66,0.99
65,1.0
63,1.0
62,1.0
60,1.0
58,1.0
57,0.99
55,1.0
54,1.0
52,1.0
51,0.99
49,0.99
47,1.0
46,0.99
44,0.98
43,0.97
41,0.93
40,0.93
38,0.85
37,0.83
35,0.72
33,0.66
32,0.65
30,0.61
29,0.57
27,0.53
26,0.51
24,0.51
22,0.5
21,0.51
19,0.48
18,0.5
16,0.46
15,0.52
13,0.55
11,0.51
10,0.49
8,0.51
7,0.49
5,0.51
4,0.5
2,0.5
1,0.49
