clique size,fraction correct
156,0.97
154,0.99
152,0.99
151,0.99
149,0.99
148,0.99
146,0.99
145,0.99
143,1.0
141,0.99
140,0.99
138,0.99
137,0.99
135,0.99
134,0.99
132,0.99
130,0.99
129,0.99
127,0.99
126,0.99
124,0.98
123,0.99
121,0.99
119,0.99
118,1.0
116,0.99
115,0.99
113,0.98
112,0.99
110,0.98
109,0.99
107,0.99
105,0.98
104,0.99
102,0.98
101,1.0
99,0.99
98,0.99
96,0.99
94,0.99
93,0.99
91,0.98
90,1.0
88,0.99
87,0.99
85,0.99
83,0.99
82,0.99
80,0.99
79,0.99
77,0.99
76,0.99
74,0.99
73,0.99
71,0.99
69,0.99
68,0.99
66,0.99
65,0.99
63,0.99
62,0.99
60,0.98
58,0.96
57,0.94
55,0.93
54,0.89
52,0.87
51,0.82
49,0.79
47,0.73
46,0.74
44,0.68
43,0.62
41,0.61
40,0.58
38,0.61
37,0.59
35,0.56
33,0.53
32,0.52
30,0.51
29,0.51
27,0.5
26,0.54
24,0.53
22,0.51
21,0.49
19,0.48
18,0.51
16,0.5
15,0.51
13,0.51
11,0.52
10,0.53
8,0.51
7,0.53
5,0.52
4,0.47
2,0.49
1,0.49
