clique size,fraction correct
156,0.99
154,0.99
152,0.99
151,1.0
149,0.99
148,0.99
146,0.99
145,0.99
143,1.0
141,0.99
140,0.99
138,0.99
137,0.99
135,0.99
134,1.0
132,0.99
130,0.99
129,1.0
127,0.99
126,0.99
124,0.99
123,0.99
121,0.99
119,0.99
118,0.99
116,0.99
115,0.99
113,0.99
112,1.0
110,0.99
109,0.99
107,0.99
105,0.99
104,0.99
102,0.99
101,0.99
99,1.0
98,0.99
96,0.99
94,1.0
93,0.99
91,0.99
90,0.99
88,0.99
87,0.99
85,1.0
83,0.99
82,1.0
80,0.99
79,1.0
77,0.98
76,0.99
74,0.99
73,0.99
71,0.99
69,0.99
68,0.99
66,0.99
65,0.99
63,0.99
62,0.99
60,1.0
58,0.98
57,0.98
55,0.98
54,0.97
52,0.95
51,0.93
49,0.89
47,0.84
46,0.82
44,0.77
43,0.73
41,0.68
40,0.65
38,0.59
37,0.6
35,0.56
33,0.54
32,0.51
30,0.53
29,0.53
27,0.52
26,0.55
24,0.47
22,0.48
21,0.48
19,0.51
18,0.49
16,0.5
15,0.55
13,0.5
11,0.51
10,0.48
8,0.49
7,0.49
5,0.48
4,0.52
2,0.5
1,0.5
