clique size,fraction correct
70,0.49
69,0.54
68,0.49
67,0.49
66,0.48
65,0.46
64,0.48
63,0.51
62,0.54
61,0.52
60,0.51
59,0.47
58,0.47
57,0.47
56,0.47
55,0.5
54,0.51
53,0.52
52,0.47
51,0.5
50,0.47
49,0.51
48,0.48
47,0.47
46,0.5
45,0.53
44,0.47
43,0.5
42,0.48
41,0.53
40,0.53
39,0.49
38,0.46
37,0.45
36,0.51
35,0.45
34,0.49
33,0.51
32,0.52
31,0.47
30,0.51
29,0.52
28,0.47
27,0.52
26,0.49
25,0.5
24,0.53
23,0.53
22,0.49
21,0.5
20,0.46
19,0.5
18,0.54
17,0.49
16,0.46
15,0.46
14,0.51
13,0.5
12,0.48
11,0.51
10,0.54
9,0.49
8,0.51
7,0.47
6,0.47
5,0.49
4,0.51
3,0.49
2,0.51
1,0.49
