clique size,fraction correct
70,0.97
69,0.96
68,0.97
67,0.95
66,0.95
65,0.95
64,0.97
63,0.97
62,0.96
61,0.96
60,0.95
59,0.96
58,0.98
57,0.98
56,0.97
55,0.96
54,0.96
53,0.96
52,0.95
51,0.97
50,0.97
49,0.95
48,0.95
47,0.98
46,0.96
45,0.96
44,0.95
43,0.96
42,0.96
41,0.95
40,0.96
39,0.96
38,0.96
37,0.95
36,0.97
35,0.95
34,0.95
33,0.93
32,0.91
31,0.89
30,0.87
29,0.86
28,0.84
27,0.79
26,0.78
25,0.72
24,0.71
23,0.62
22,0.63
21,0.64
20,0.57
19,0.58
18,0.54
17,0.57
16,0.53
15,0.51
14,0.47
13,0.52
12,0.54
11,0.5
10,0.45
9,0.52
8,0.51
7,0.5
6,0.46
5,0.52
4,0.51
3,0.47
2,0.51
1,0.54
