clique size,fraction correct
70,0.93
69,0.94
68,0.89
67,0.91
66,0.92
65,0.91
64,0.94
63,0.95
62,0.91
61,0.9
60,0.95
59,0.94
58,0.91
57,0.91
56,0.91
55,0.95
54,0.93
53,0.95
52,0.92
51,0.95
50,0.96
49,0.94
48,0.96
47,0.95
46,0.92
45,0.93
44,0.93
43,0.95
42,0.94
41,0.95
40,0.95
39,0.95
38,0.91
37,0.96
36,0.91
35,0.88
34,0.88
33,0.93
32,0.92
31,0.96
30,0.95
29,0.88
28,0.93
27,0.94
26,0.93
25,0.95
24,0.91
23,0.85
22,0.82
21,0.83
20,0.78
19,0.73
18,0.67
17,0.71
16,0.64
15,0.56
14,0.56
13,0.48
12,0.61
11,0.55
10,0.52
9,0.59
8,0.45
7,0.45
6,0.52
5,0.5
4,0.48
3,0.56
2,0.49
1,0.52
