clique size,fraction correct
70,1.0
69,1.0
68,0.99
67,1.0
66,0.99
65,0.99
64,0.99
63,1.0
62,1.0
61,1.0
60,0.99
59,0.99
58,1.0
57,1.0
56,1.0
55,1.0
54,1.0
53,0.99
52,0.99
51,0.99
50,0.99
49,0.99
48,1.0
47,0.99
46,0.99
45,0.99
44,1.0
43,1.0
42,1.0
41,0.99
40,0.99
39,0.99
38,1.0
37,0.99
36,0.99
35,0.96
34,0.95
33,0.95
32,0.91
31,0.83
30,0.84
29,0.79
28,0.77
27,0.7
26,0.71
25,0.65
24,0.63
23,0.6
22,0.55
21,0.58
20,0.52
19,0.54
18,0.51
17,0.53
16,0.51
15,0.5
14,0.55
13,0.54
12,0.51
11,0.53
10,0.47
9,0.53
8,0.49
7,0.48
6,0.53
5,0.54
4,0.53
3,0.51
2,0.5
1,0.48
