clique size,fraction correct
280,0.96
277,0.97
274,0.95
271,0.96
268,0.95
265,0.96
263,0.96
260,0.96
257,0.97
254,0.95
251,0.98
249,0.96
246,0.95
243,0.97
240,0.97
237,0.96
234,0.96
232,0.97
229,0.92
226,0.96
223,0.96
220,0.95
218,0.95
215,0.94
212,0.96
209,0.95
206,0.97
203,0.96
201,0.95
198,0.93
195,0.95
192,0.96
189,0.95
187,0.96
184,0.96
181,0.94
178,0.94
175,0.95
172,0.96
170,0.95
167,0.95
164,0.96
161,0.96
158,0.97
156,0.95
153,0.96
150,0.96
147,0.96
144,0.95
141,0.96
139,0.95
136,0.97
133,0.95
130,0.95
127,0.96
125,0.97
122,0.97
119,0.95
116,0.95
113,0.96
110,0.95
108,0.96
105,0.94
102,0.95
99,0.96
96,0.96
94,0.96
91,0.96
88,0.96
85,0.96
82,0.97
79,0.95
77,0.93
74,0.92
71,0.92
68,0.86
65,0.85
63,0.79
60,0.74
57,0.68
54,0.65
51,0.67
48,0.56
46,0.61
43,0.6
40,0.55
37,0.53
34,0.53
32,0.51
29,0.51
26,0.48
23,0.5
20,0.48
17,0.48
15,0.5
12,0.51
9,0.5
6,0.45
3,0.53
1,0.48
