clique size,fraction correct
70,0.99
69,0.99
68,0.99
67,0.99
66,0.98
65,0.99
64,0.99
63,0.99
62,0.99
61,0.99
60,0.99
59,0.99
58,0.99
57,1.0
56,0.99
55,0.98
54,1.0
53,0.99
52,0.99
51,0.99
50,0.99
49,0.99
48,0.99
47,0.99
46,0.99
45,0.99
44,0.98
43,0.99
42,0.99
41,0.99
40,0.99
39,0.99
38,0.99
37,0.99
36,0.99
35,0.99
34,0.99
33,0.98
32,0.99
31,0.98
30,0.99
29,0.99
28,0.98
27,1.0
26,0.99
25,0.97
24,0.98
23,0.95
22,0.91
21,0.88
20,0.83
19,0.76
18,0.7
17,0.69
16,0.63
15,0.58
14,0.56
13,0.58
12,0.56
11,0.51
10,0.49
9,0.54
8,0.53
7,0.51
6,0.51
5,0.53
4,0.51
3,0.47
2,0.5
1,0.51
