clique size,fraction correct
70,0.93
69,0.92
68,0.91
67,0.94
66,0.93
65,0.95
64,0.94
63,0.94
62,0.95
61,0.94
60,0.93
59,0.93
58,0.94
57,0.94
56,0.93
55,0.95
54,0.93
53,0.93
52,0.93
51,0.94
50,0.91
49,0.94
48,0.93
47,0.94
46,0.93
45,0.92
44,0.95
43,0.93
42,0.92
41,0.95
40,0.94
39,0.94
38,0.92
37,0.93
36,0.93
35,0.95
34,0.92
33,0.92
32,0.94
31,0.93
30,0.93
29,0.94
28,0.93
27,0.92
26,0.92
25,0.89
24,0.89
23,0.84
22,0.84
21,0.77
20,0.73
19,0.7
18,0.62
17,0.62
16,0.62
15,0.59
14,0.57
13,0.56
12,0.57
11,0.55
10,0.5
9,0.54
8,0.48
7,0.53
6,0.48
5,0.51
4,0.5
3,0.48
2,0.49
1,0.52
