clique size,fraction correct
140,0.98
138,0.97
137,0.97
135,0.98
134,0.97
132,0.98
131,0.99
130,0.98
128,0.97
127,0.98
125,0.97
124,0.98
123,0.96
121,0.98
120,0.97
118,0.97
117,0.98
116,0.96
114,0.98
113,0.97
111,0.98
110,0.96
109,0.98
107,0.99
106,0.98
104,0.98
103,0.98
102,0.99
100,0.97
99,0.95
97,0.98
96,0.98
95,0.98
93,0.97
92,0.97
90,0.99
89,0.96
88,0.97
86,0.98
85,0.98
83,0.97
82,0.97
81,0.98
79,0.96
78,0.97
76,0.97
75,0.98
74,0.96
72,0.97
71,0.97
69,0.98
68,0.97
66,0.96
65,0.97
64,0.97
62,0.97
61,0.97
59,0.98
58,0.98
57,0.98
55,0.97
54,0.98
52,0.96
51,0.96
50,0.96
48,0.96
47,0.93
45,0.91
44,0.91
43,0.86
41,0.8
40,0.79
38,0.76
37,0.71
36,0.68
34,0.66
33,0.67
31,0.58
30,0.56
29,0.58
27,0.55
26,0.54
24,0.53
23,0.56
22,0.48
20,0.51
19,0.55
17,0.56
16,0.52
15,0.55
13,0.49
12,0.54
10,0.48
9,0.48
8,0.51
6,0.46
5,0.46
3,0.46
2,0.52
1,0.49
