clique size,fraction correct
280,0.98
277,0.96
274,0.98
271,0.97
268,0.97
265,0.97
263,0.97
260,0.97
257,0.97
254,0.96
251,0.97
249,0.97
246,0.96
243,0.97
240,0.96
237,0.97
234,0.97
232,0.96
229,0.97
226,0.97
223,0.96
220,0.97
218,0.97
215,0.97
212,0.97
209,0.97
206,0.96
203,0.97
201,0.96
198,0.96
195,0.96
192,0.97
189,0.96
187,0.96
184,0.97
181,0.98
178,0.97
175,0.95
172,0.98
170,0.96
167,0.96
164,0.97
161,0.97
158,0.97
156,0.95
153,0.94
150,0.97
147,0.98
144,0.95
141,0.96
139,0.93
136,0.95
133,0.9
130,0.93
127,0.9
125,0.91
122,0.89
119,0.88
116,0.85
113,0.84
110,0.83
108,0.81
105,0.78
102,0.76
99,0.72
96,0.72
94,0.66
91,0.69
88,0.69
85,0.64
82,0.62
79,0.6
77,0.66
74,0.56
71,0.57
68,0.55
65,0.53
63,0.54
60,0.5
57,0.52
54,0.53
51,0.51
48,0.51
46,0.57
43,0.53
40,0.47
37,0.49
34,0.52
32,0.47
29,0.51
26,0.48
23,0.54
20,0.52
17,0.52
15,0.48
12,0.5
9,0.5
6,0.5
3,0.5
1,0.52
