clique size,fraction correct
840,0.96
831,0.97
823,0.97
814,0.96
806,0.96
797,0.97
789,0.97
780,0.95
772,0.96
763,0.97
755,0.97
746,0.96
738,0.96
729,0.96
721,0.97
712,0.95
704,0.97
695,0.96
687,0.95
678,0.98
670,0.97
662,0.97
653,0.96
645,0.97
636,0.97
628,0.96
619,0.96
611,0.96
602,0.96
594,0.96
585,0.96
577,0.97
568,0.95
560,0.97
551,0.97
543,0.96
534,0.96
526,0.98
517,0.96
509,0.97
501,0.96
492,0.96
484,0.96
475,0.96
467,0.96
458,0.97
450,0.95
441,0.98
433,0.96
424,0.97
416,0.95
407,0.97
399,0.97
390,0.97
382,0.96
373,0.97
365,0.96
356,0.96
348,0.97
339,0.96
331,0.95
323,0.96
314,0.97
306,0.97
297,0.95
289,0.96
280,0.94
272,0.95
263,0.94
255,0.91
246,0.91
238,0.88
229,0.85
221,0.83
212,0.84
204,0.76
195,0.75
187,0.73
178,0.65
170,0.63
162,0.59
153,0.6
145,0.57
136,0.57
128,0.54
119,0.54
111,0.53
102,0.54
94,0.55
85,0.51
77,0.55
68,0.51
60,0.52
51,0.53
43,0.53
34,0.48
26,0.51
17,0.53
9,0.49
1,0.52
