clique size,fraction correct
140,0.52
138,0.51
137,0.5
135,0.51
134,0.52
132,0.48
131,0.54
130,0.45
128,0.44
127,0.51
125,0.48
124,0.51
123,0.51
121,0.5
120,0.44
118,0.49
117,0.51
116,0.48
114,0.46
113,0.49
111,0.5
110,0.49
109,0.5
107,0.5
106,0.52
104,0.46
103,0.49
102,0.49
100,0.49
99,0.5
97,0.47
96,0.49
95,0.51
93,0.52
92,0.47
90,0.51
89,0.46
88,0.5
86,0.51
85,0.47
83,0.48
82,0.5
81,0.5
79,0.49
78,0.5
76,0.53
75,0.47
74,0.49
72,0.49
71,0.48
69,0.52
68,0.48
66,0.54
65,0.49
64,0.54
62,0.5
61,0.46
59,0.53
58,0.51
57,0.49
55,0.52
54,0.51
52,0.5
51,0.5
50,0.52
48,0.51
47,0.5
45,0.51
44,0.5
43,0.52
41,0.52
40,0.52
38,0.48
37,0.52
36,0.48
34,0.46
33,0.46
31,0.5
30,0.48
29,0.52
27,0.51
26,0.54
24,0.48
23,0.52
22,0.48
20,0.5
19,0.5
17,0.52
16,0.5
15,0.52
13,0.48
12,0.47
10,0.52
9,0.5
8,0.51
6,0.47
5,0.52
3,0.49
2,0.51
1,0.51
