clique size,fraction correct
210,1.0
207,1.0
205,1.0
203,1.0
201,1.0
199,1.0
197,1.0
195,1.0
193,1.0
191,1.0
188,1.0
186,1.0
184,0.99
182,1.0
180,1.0
178,0.99
176,0.99
174,0.99
172,0.99
169,0.99
167,1.0
165,1.0
163,0.99
161,1.0
159,0.99
157,1.0
155,1.0
153,0.99
150,1.0
148,1.0
146,1.0
144,0.99
142,0.99
140,0.99
138,0.99
136,1.0
134,1.0
131,0.99
129,1.0
127,0.99
125,0.99
123,1.0
121,1.0
119,1.0
117,0.99
115,0.99
112,0.99
110,0.99
108,0.98
106,0.98
104,0.98
102,0.99
100,0.95
98,0.94
96,0.95
93,0.93
91,0.92
89,0.86
87,0.88
85,0.82
83,0.81
81,0.77
79,0.76
77,0.71
74,0.7
72,0.66
70,0.67
68,0.6
66,0.62
64,0.62
62,0.59
60,0.54
58,0.62
55,0.53
53,0.53
51,0.51
49,0.5
47,0.53
45,0.55
43,0.52
41,0.5
39,0.51
36,0.48
34,0.5
32,0.49
30,0.5
28,0.51
26,0.47
24,0.48
22,0.52
20,0.48
17,0.49
15,0.5
13,0.51
11,0.52
9,0.51
7,0.5
5,0.47
3,0.51
1,0.47
