clique size,fraction correct
336,0.96
332,0.96
329,0.96
325,0.97
322,0.93
319,0.94
315,0.97
312,0.95
308,0.96
305,0.95
302,0.96
298,0.95
295,0.95
292,0.97
288,0.95
285,0.96
281,0.95
278,0.97
275,0.96
271,0.97
268,0.96
264,0.95
261,0.96
258,0.96
254,0.96
251,0.96
248,0.97
244,0.97
241,0.98
237,0.97
234,0.95
231,0.96
227,0.96
224,0.95
220,0.96
217,0.96
214,0.97
210,0.95
207,0.96
204,0.96
200,0.96
197,0.95
193,0.97
190,0.97
187,0.97
183,0.96
180,0.96
176,0.96
173,0.95
170,0.96
166,0.96
163,0.96
160,0.95
156,0.96
153,0.95
149,0.97
146,0.96
143,0.96
139,0.96
136,0.96
132,0.96
129,0.97
126,0.96
122,0.94
119,0.97
116,0.96
112,0.95
109,0.96
105,0.96
102,0.94
99,0.96
95,0.95
92,0.95
88,0.91
85,0.91
82,0.89
78,0.82
75,0.81
72,0.77
68,0.72
65,0.66
61,0.62
58,0.62
55,0.54
51,0.58
48,0.56
44,0.52
41,0.53
38,0.5
34,0.51
31,0.49
28,0.53
24,0.51
21,0.53
17,0.51
14,0.5
11,0.51
7,0.54
4,0.47
1,0.47
