clique size,fraction correct
420,0.99
415,0.99
411,1.0
407,0.99
403,1.0
398,1.0
394,0.99
390,1.0
386,1.0
381,1.0
377,0.99
373,1.0
369,1.0
364,0.99
360,1.0
356,0.99
352,1.0
348,1.0
343,0.99
339,0.99
335,0.99
331,1.0
326,0.99
322,1.0
318,0.99
314,1.0
309,0.99
305,0.99
301,0.99
297,1.0
293,1.0
288,1.0
284,0.99
280,0.98
276,0.99
271,0.99
267,1.0
263,1.0
259,1.0
254,0.99
250,0.99
246,1.0
242,1.0
238,0.99
233,0.99
229,0.99
225,1.0
221,1.0
216,0.99
212,0.99
208,0.99
204,0.99
199,1.0
195,1.0
191,1.0
187,0.99
182,1.0
178,0.99
174,0.98
170,0.98
166,0.96
161,0.96
157,0.95
153,0.93
149,0.9
144,0.88
140,0.83
136,0.82
132,0.8
127,0.72
123,0.72
119,0.68
115,0.66
111,0.64
106,0.64
102,0.6
98,0.61
94,0.56
89,0.5
85,0.57
81,0.54
77,0.53
72,0.52
68,0.47
64,0.5
60,0.53
56,0.52
51,0.49
47,0.51
43,0.49
39,0.5
34,0.53
30,0.49
26,0.52
22,0.47
17,0.51
13,0.54
9,0.49
5,0.5
1,0.52
